GDP_Rank,abbr,state,GDP,Population_million,Unemployment,debt
1,CA,California,2003.5,38.4,10.5,421749.3
2,TX,Texas,1397.4,25.7,6.8,262123
3,NY,New York,1205.9,19.4,8.5,344481.1
4,FL,Florida,777.2,19.7,8.6,152093.1
5,IL,Illinois,695.2,12.9,8.9,151274.9
6,PA,Pennsylvania,600.9,12.7,7.9,125147.1
7,NJ,New Jersey,508,9,9.5,104343.4
8,OH,Ohio,509.4,11.6,7.2,78272.3
9,VA,Virginia,445.9,8.2,5.9,64823
10,NC,North Carolina,456,9.7,9.5,51259.7
11,GA,Georgia,433.6,9.9,9,55433.2
12,MA,Massachusetts,403.8,6.6,6.7,91057.8
13,MI,Michigan,400.5,10.2,9.1,72579.7
14,WA,Washington,375.7,6.8,8.2,76381.9
15,MD,Maryland,317.7,5.9,6.8,45969.5
16,IN,Indiana,298.6,6.5,8.4,48489.3
17,MN,Minnesota,294.7,5.4,5.6,48042.7
18,AZ,Arizona,266.9,6.8,8.3,50920.2
19,CO,Colorado,274,5,8,53231.4
20,WI,Wisconsin,261.5,5.8,6.9,45476.4
21,TN,Tennessee,277,6.4,8,38495.6
22,MO,Missouri,258.8,6,6.9,46946.9
23,CT,Connecticut,229.3,3.6,8.4,41083.4
24,LA,Louisiana,243.3,4.6,6.4,40607.2
25,AL,Alabama,183.5,4.7,7.3,29784.1
26,OR,Oregon,198.7,3.9,8.7,35546.9
27,SC,South Carolina,176.2,4.6,9.1,40797.2
28,KY,Kentucky,173.5,4.3,8.2,43164.5
29,OK,Oklahoma,161,3.7,5.2,19563.8
30,IA,Iowa,152.4,3,5.2,19073.4
31,KS,Kansas,139,2.9,5.7,26735.2
32,NV,Nevada,133.6,2.8,11.1,26935.4
33,UT,Utah,130.5,2.8,5.7,20821.8
34,AR,Arkansas,109.6,2.9,7.3,13391.9
35,DE,District of Columbia,109.8,0.6,8.9,11922.5
36,MS,Mississippi,101.5,3,9.2,14435.9
37,NE,Nebraska,99.6,1.8,3.9,12218.6
38,NM,New Mexico,80.6,2.1,6.9,16078.2
39,HI,Hawaii,72.4,1.4,5.8,13752.3
40,WV,West Virginia,69.4,1.8,7.3,11296
41,DE,Delaware,66,0.9,7.1,8669.5
42,NH,New Hampshire,64.7,1.4,5.5,11521.4
43,ID,Idaho,58.2,1.6,7.1,6241.1
44,ME,Maine,53.7,1.4,7.3,8973.2
45,RI,Rhode Island,51,1.1,10.4,11706.6
46,AK,Alaska,51.9,0.7,7,10382.1
47,SD,South Dakota,42.5,0.8,4.4,6009.7
48,WY,Wyoming,38.4,0.5,5.4,2311.8
49,MT,Montana,40.4,1,6,6207.5
50,ND,North Dakota,46,0.7,3.1,4680.3
51,VT,Vermont,27.3,0.6,5,4812.4
